id,anio,ranking,banco,monto,solicitudes
1,2015,1,BBVA Bancomer,2859447687,4715245
2,2016,1,BBVA Bancomer,11891756554,39511977
3,2017,1,BBVA Bancomer,26447561364,90640929
4,2018,1,BBVA Bancomer,48710294415,169708611
5,2019,1,BBVA Bancomer,78405589518,272044270
6,2020,1,BBVA Bancomer,80807140317,237686389
7,2015,2,Banamex,5260840119,8953134
8,2016,2,Banamex,7077667680,11459958
9,2017,2,Banamex,14252923515,20592652
10,2018,2,Banamex,23016104203,37880346
11,2019,2,Banamex,33879772551,71600836
12,2020,2,Banamex,36156977053,72489537
13,2015,3,Banorte-Ixe,1733659831,3341242
14,2016,3,Banorte-Ixe,3917137472,5612800
15,2017,3,Banorte-Ixe,9287432833,16619578
16,2018,3,Banorte-Ixe,14181004713,27879683
17,2019,3,Banorte-Ixe,18549850967,45408945
18,2020,3,Banorte-Ixe,19295509277,41990048
19,2015,4,Santander,2112354547,3657897
20,2016,4,Santander,3527824377,5489833
21,2017,4,Santander,8877512836,13328922
22,2018,4,Santander,13346866951,23173085
23,2019,4,Santander,19199755946,47666482
24,2020,4,Santander,19065179472,41726854
25,2015,5,HSBC,1582837677,2270004
26,2016,5,HSBC,2075494113,2975966
27,2017,5,HSBC,4701370606,6598034
28,2018,5,HSBC,6640076479,10007494
29,2019,5,HSBC,8332250918,20093541
30,2020,5,HSBC,7807702843,17269529
31,2015,6,Azteca,642003295,1692916
32,2016,6,Azteca,803751012,2380972
33,2017,6,Azteca,1700065083,3886984
34,2018,6,Azteca,2716444500,5988414
35,2019,6,Azteca,5191964108,15173633
36,2020,6,Azteca,5535630362,15647044
37,2015,7,Bancoppel,301048526,764696
38,2016,7,Bancoppel,686563961,1475305
39,2017,7,Bancoppel,1439909969,2409130
40,2018,7,Bancoppel,3190107044,6170048
41,2019,7,Bancoppel,5468254288,13657490
42,2020,7,Bancoppel,7344124542,18554850
43,2015,8,Scotiabank,299079056,347546
44,2016,8,Scotiabank,470768250,479965
45,2017,8,Scotiabank,961015067,1013046
46,2018,8,Scotiabank,1370629315,1778109
47,2019,8,Scotiabank,2195089134,4309936
48,2020,8,Scotiabank,3238677919,5187400
49,2015,9,Inbursa,260485336,250639
50,2016,9,Inbursa,407412409,435234
51,2017,9,Inbursa,1071653319,1002935
52,2018,9,Inbursa,1193367632,1405346
53,2019,9,Inbursa,1302755858,2228224
54,2020,9,Inbursa,1346942931,2393155
55,2015,10,Banregio,48329059,68460
56,2016,10,Banregio,90869269,118872
57,2017,10,Banregio,206125713,238475
58,2018,10,Banregio,371358270,490289
59,2019,10,Banregio,706725098,1420846
60,2020,10,Banregio,889100713,1821868
